,fullName,termType,rxcui
0,0.005 ML dexamethasone 103.4 MG/ML Injection,SCD,2045404
1,0.005 ML dexamethasone 103.4 MG/ML Injection [Dexycu],SBD,2045409
2,0.05 ML aflibercept 40 MG/ML Injection,SCD,1232154
3,0.05 ML aflibercept 40 MG/ML Injection [Eylea],SBD,1232159
4,0.05 ML brolucizumab-dbll 120 MG/ML Injection,SCD,2204920
5,0.05 ML brolucizumab-dbll 120 MG/ML Injection [Beovu],SBD,2204925
6,0.05 ML brolucizumab-dbll 120 MG/ML Prefilled Syringe,SCD,2602276
7,0.05 ML brolucizumab-dbll 120 MG/ML Prefilled Syringe [Beovu],SBD,2602279
8,0.05 ML faricimab-svoa 120 MG/ML Injection,SCD,2591588
9,0.05 ML faricimab-svoa 120 MG/ML Injection [Vabysmo],SBD,2591594
10,0.05 ML ranibizumab 10 MG/ML Injection,SCD,643193
11,0.05 ML ranibizumab 10 MG/ML Injection [Lucentis],SBD,644301
12,0.05 ML ranibizumab 10 MG/ML Prefilled Syringe,SCD,1864423
13,0.05 ML ranibizumab 10 MG/ML Prefilled Syringe [Lucentis],SBD,1864425
14,0.05 ML ranibizumab 6 MG/ML Injection,SCD,1306074
15,0.05 ML ranibizumab 6 MG/ML Injection [Lucentis],SBD,1306076
16,0.05 ML ranibizumab 6 MG/ML Prefilled Syringe,SCD,2045501
17,0.05 ML ranibizumab 6 MG/ML Prefilled Syringe [Lucentis],SBD,2045502
18,0.05 ML ranibizumab-eqrn 10 MG/ML Injection,SCD,2612684
19,0.05 ML ranibizumab-eqrn 10 MG/ML Injection [Cimerli],SBD,2612687
20,0.05 ML ranibizumab-eqrn 6 MG/ML Injection,SCD,2612675
21,0.05 ML ranibizumab-eqrn 6 MG/ML Injection [Cimerli],SBD,2612681
22,0.05 ML ranibizumab-nuna 10 MG/ML Injection,SCD,2602353
23,0.05 ML ranibizumab-nuna 10 MG/ML Injection [Byooviz],SBD,2602359
24,0.09 ML pegaptanib 3.33 MG/ML Prefilled Syringe,SCD,1011625
